Gabriel Jesus,24,Thu Apr 03 02:00:00 CEST 1997,Premier League,2018/2019,Forward,0,Brazil,7,5,2,1,0
Gaëtan Bong Songo,33,Mon Apr 25 02:00:00 CEST 1988,Premier League,2018/2019,Defender,0,Cameroon,0,0,0,0,0
Gary Cahill,36,Thu Dec 19 01:00:00 CET 1985,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Gary Madine,31,Fri Aug 24 02:00:00 CEST 1990,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
George Marsh,23,Thu Nov 05 01:00:00 CET 1998,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Georges-Kevin N'Koudou Mbida,26,Mon Feb 13 01:00:00 CET 1995,Premier League,2018/2019,Forward,0,France,0,0,0,0,0
Georginio Wijnaldum,31,Sun Nov 11 01:00:00 CET 1990,Premier League,2018/2019,Midfielder,0,Netherlands,3,1,2,0,0
Gerard Deulofeu,27,Sun Mar 13 01:00:00 CET 1994,Premier League,2018/2019,Forward,0,Spain,10,3,7,0,0
Glenn Murray,38,Sun Sep 25 02:00:00 CEST 1983,Premier League,2018/2019,Forward,0,England,13,8,5,4,0
Gonzalo Higuain,34,Thu Dec 10 01:00:00 CET 1987,Premier League,2018/2019,Forward,0,Argentina,5,4,1,0,0
Grady Diangana,23,Sun Apr 19 02:00:00 CEST 1998,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Granit Xhaka,29,Sun Sep 27 02:00:00 CEST 1992,Premier League,2018/2019,Midfielder,0,Switzerland,4,2,2,0,0
Greg Cunningham,30,Thu Jan 31 01:00:00 CET 1991,Premier League,2018/2019,Defender,0,Republic of Ireland,0,0,0,0,0
Gylfi Sigurdsson,32,Fri Sep 08 02:00:00 CEST 1989,Premier League,2018/2019,Midfielder,0,Iceland,13,7,6,2,3
Hamza Choudhury,24,Wed Oct 01 02:00:00 CEST 1997,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
